Title,Url,Code Link,Confidence,Year
GazeNLQ @ Ego4D Natural Language Queries Challenge 2025,https://arxiv.org/abs/2506.05782v1,https://github.com/stevenlin510/gazenlq,medium,2506
LotusFilter: Fast Diverse Nearest Neighbor Search via a Learned Cutoff Table,https://arxiv.org/abs/2506.04790v1,https://github.com/matsui528/lotf,medium,2506
OSGNet @ Ego4D Episodic Memory Challenge 2025,https://arxiv.org/abs/2506.03710v1,https://github.com/yisen-feng/osgnet,medium,2506
PARC: A Quantitative Framework Uncovering the Symmetries within Vision Language Models,https://arxiv.org/abs/2506.14808v1,https://github.com/nvlabs/parc,medium,2506
RC-AutoCalib: An End-to-End Radar-Camera Automatic Calibration Network,https://arxiv.org/abs/2505.22427v1,https://github.com/nycu-acm/rc-autocalib,medium,2505
FRAMES-VQA: Benchmarking Fine-Tuning Robustness across Multi-Modal Shifts in Visual Question Answering,https://arxiv.org/abs/2505.21755v2,https://github.com/chengyuehuang511/frames-vqa,medium,2505
PMA: Towards Parameter-Efficient Point Cloud Understanding via Point Mamba Adapter,https://arxiv.org/abs/2505.20941v1,https://github.com/zyh16143998882/pma,medium,2505
HCQA-1.5 @ Ego4D EgoSchema Challenge 2025,https://arxiv.org/abs/2505.20644v1,https://github.com/hyu-zhang/hcqa,medium,2505
Four Eyes Are Better Than Two: Harnessing the Collaborative Potential of Large Models via Differentiated Thinking and Complementary Ensembles,https://arxiv.org/abs/2505.16784v2,https://github.com/xiongjunguan/egoschema-cvpr25,medium,2505
DeCafNet: Delegate and Conquer for Efficient Temporal Grounding in Long Videos,https://arxiv.org/abs/2505.16376v1,https://github.com/zijialewislu/cvpr2025-decafnet,medium,2505
Neural Video Compression with Context Modulation,https://arxiv.org/abs/2505.14541v1,https://github.com/austin4ustc/dcmvc,medium,2505
Camera-Only 3D Panoptic Scene Completion for Autonomous Driving through Differentiable Object Shapes,https://arxiv.org/abs/2505.09562v1,https://github.com/nicolamarinello/offsetocc,medium,2505
Sparse Point Cloud Patches Rendering via Splitting 2D Gaussians,https://arxiv.org/abs/2505.09413v1,https://github.com/murcherful/gaupcrender,medium,2505
Behind Maya: Building a Multilingual Vision Language Model,https://arxiv.org/abs/2505.08910v2,https://github.com/nahidalam/maya,medium,2505
EmoVLM-KD: Fusing Distilled Expertise with Vision-Language Models for Visual Emotion Analysis,https://arxiv.org/abs/2505.07164v1,https://github.com/sange1104/emovlm-kd,medium,2505
DispBench: Benchmarking Disparity Estimation to Synthetic Corruptions,https://arxiv.org/abs/2505.05091v1,https://github.com/shashankskagnihotri/benchmarking_robustness,medium,2505
Convex Relaxation for Robust Vanishing Point Estimation in Manhattan World,https://arxiv.org/abs/2505.04788v3,https://github.com/wu-cvgl/globustvp,medium,2505
Towards Efficient Benchmarking of Foundation Models in Remote Sensing: A Capabilities Encoding Approach,https://arxiv.org/abs/2505.03299v1,https://github.com/pierreadorni/capabilities-encoding,medium,2505
SeriesBench: A Benchmark for Narrative-Driven Drama Series Understanding,https://arxiv.org/abs/2504.21435v3,https://github.com/zackhxn/seriesbench-cvpr2025,medium,2504
MP-SfM: Monocular Surface Priors for Robust Structure-from-Motion,https://arxiv.org/abs/2504.20040v1,https://github.com/cvg/mpsfm,medium,2504
